['46', '14', '47', '49', '50']
['72', '17', '71', '75', '76']
['203', '42', '43', '44', '45']
['1', '0', '2', '9', '10']
['35', '38', '39', '40', '41']
['77', '51', '52', '53', '54']
['86', '55', '56', '57', '59']
['89', '58', '87', '88', '90']
['126', '67', '68', '69', '70']
['150', '116', '117', '118', '119']
['159', '128', '129', '131', '132']
['191', '163', '164', '165', '166']
['193', '167', '168', '169', '170']
['209', '171', '172', '173', '174']
['236', '175', '176', '177', '179']
['243', '178', '240', '241', '244']
['267', '180', '181', '182', '184']
['285', '183', '271', '272', '273']
['299', '185', '186', '187', '189']
['4', '3', '11', '12', '13']
['5', '188', '274', '293', '294']
['6', '190', '192', '194', '195']
['7', '196', '197', '198', '199']
['8', '200', '201', '202', '204']
['18', '15', '16', '19', '20']
['23', '21', '22', '25', '26']
['24', '205', '206', '207', '210']
['29', '27', '28', '31', '32']
['30', '33', '34', '36', '37']
['48', '208', '275', '276', '277']
['61', '60', '64', '65', '66']
['62', '211', '212', '213', '214']
['63', '215', '216', '217', '219']
['73', '218', '278', '279', '280']
['74', '220', '221', '222', '224']
['79', '78', '80', '81', '82']
['83', '84', '91', '92', '98']
['85', '223', '281', '282', '283']
['93', '225', '226', '227', '229']
['94', '228', '284', '295', '296']
['95', '99', '100', '101', '104']
['96', '230', '231', '232', '234']
['97', '233', '286', '287', '288']
['102', '235', '237', '238', '239']
['103', '242', '258', '260', '261']
['105', '106', '107', '109', '111']
['108', '245', '246', '247', '249']
['110', '112', '113', '114', '115']
['120', '121', '123', '125', '127']
['122', '248', '289', '297', '298']
['124', '250', '251', '252', '254']
['130', '134', '135', '137', '138']
['133', '253', '290', '291', '292']
['136', '139', '142', '143', '145']
['140', '255', '256', '257', '259']
['141', '262', '263', '264', '265']
['144', '266', '268', '269', '270']
['148', '146', '147', '149', '151']
['154', '152', '153', '155', '157']
['156', '158', '160', '161', '162']
