['431', '104', '268', '156', '336']
['399', '432', '175', '442', '217']
['350', '115', '31', '200', '11']
['283', '375', '44', '319', '89']
['343', '192', '69', '312', '2']
['204', '331', '437', '425', '106']
['182', '173', '12', '365', '408']
['451', '457', '222', '478', '127']
['436', '20', '165', '57', '243']
['170', '189', '211', '472', '364']
['233', '190', '466', '335', '489']
['286', '406', '7', '405', '435']
['154', '387', '3', '99', '77']
['114', '107', '326', '168', '120']
['461', '483', '16', '429', '74']
['481', '465', '28', '346', '59']
['381', '445', '119', '388', '129']
['296', '205', '407', '320', '32']
['309', '137', '298', '374', '420']
['174', '116', '179', '323', '86']
['207', '206', '386', '79', '97']
['479', '382', '78', '237', '254']
['24', '230', '56', '146', '26']
['187', '172', '459', '378', '449']
['337', '279', '135', '19', '403']
['242', '400', '197', '496', '258']
['257', '458', '253', '299', '25']
['126', '21', '302', '474', '37']
['4', '39', '6', '396', '234']
['202', '413', '310', '184', '171']
['424', '166', '464', '108', '185']
['358', '150', '290', '183', '393']
['148', '80', '93', '143', '130']
['324', '67', '261', '177', '273']
['317', '49', '347', '272', '367']
['448', '259', '157', '213', '313']
['47', '161', '45', '351', '361']
['35', '376', '490', '460', '417']
['138', '51', '228', '53', '249']
['356', '65', '389', '247', '226']
['218', '141', '282', '315', '92']
['244', '196', '85', '493', '61']
['412', '462', '109', '295', '29']
['383', '220', '404', '81', '480']
['246', '325', '145', '328', '469']
['160', '236', '467', '214', '41']
['96', '455', '201', '55', '450']
['102', '441', '280', '124', '482']
['360', '385', '76', '191', '395']
['208', '488', '384', '123', '428']
['362', '158', '456', '495', '423']
['133', '163', '224', '38', '30']
['306', '159', '112', '349', '333']
['147', '494', '345', '229', '414']
['188', '95', '277', '307', '492']
['251', '398', '271', '409', '330']
['366', '134', '394', '421', '470']
['353', '176', '314', '275', '152']
['144', '72', '54', '238', '181']
['164', '266', '484', '151', '390']
['203', '473', '231', '71', '342']
['372', '193', '487', '287', '344']
['380', '274', '300', '75', '339']
['82', '34', '219', '248', '23']
['354', '301', '131', '66', '178']
['419', '113', '90', '180', '42']
['340', '359', '132', '303', '240']
['27', '17', '117', '105', '371']
['338', '1', '239', '186', '305']
['62', '50', '433', '40', '486']
['94', '355', '318', '292', '46']
['263', '215', '100', '485', '452']
['245', '377', '434', '368', '379']
['476', '438', '198', '8', '357']
['103', '232', '285', '22', '352']
['83', '111', '68', '499', '311']
['329', '73', '348', '252', '235']
['36', '18', '422', '212', '162']
['210', '216', '15', '118', '262']
['91', '140', '167', '101', '392']
['281', '308', '128', '397', '284']
['491', '48', '199', '225', '241']
['33', '291', '155', '327', '13']
['153', '468', '410', '110', '142']
['63', '443', '370', '341', '250']
['139', '194', '9', '70', '256']
['121', '195', '52', '58', '440']
['223', '269', '294', '321', '288']
['209', '276', '401', '426', '418']
['255', '391', '64', '149', '14']
['453', '430', '446', '322', '278']
['122', '265', '369', '363', '497']
['334', '427', '411', '415', '316']
['136', '498', '125', '477', '289']
['297', '444', '293', '260', '471']
['60', '267', '264', '0', '227']
['88', '439', '5', '10', '221']
['447', '416', '98', '169', '43']
['84', '454', '332', '87', '402']
['304', '270', '463', '475', '373']
