['251', '43', '115', '355', '287', '239', '64', '121', '177', '339']
['95', '386', '423', '188', '473', '456', '416', '66', '56', '362']
['499', '89', '366', '40', '466', '446', '169', '187', '429', '78']
['447', '72', '172', '431', '83', '359', '26', '313', '19', '472']
['450', '293', '99', '459', '233', '37', '88', '22', '53', '221']
['371', '319', '413', '403', '300', '325', '124', '100', '405', '128']
['199', '103', '398', '1', '82', '102', '247', '133', '477', '286']
['418', '69', '350', '360', '145', '146', '453', '41', '44', '338']
['345', '246', '402', '225', '375', '491', '250', '392', '175', '282']
['435', '256', '147', '364', '424', '222', '48', '417', '264', '365']
['197', '6', '214', '328', '191', '378', '60', '385', '454', '383']
['112', '331', '90', '12', '437', '427', '9', '67', '307', '109']
['156', '462', '294', '139', '440', '144', '162', '426', '283', '63']
['357', '296', '316', '155', '474', '59', '65', '259', '284', '204']
['277', '324', '183', '186', '76', '370', '451', '131', '356', '481']
['479', '261', '302', '168', '195', '478', '206', '389', '335', '114']
['113', '13', '7', '457', '352', '184', '260', '215', '268', '497']
['486', '218', '213', '384', '336', '135', '4', '174', '432', '29']
['98', '31', '150', '275', '279', '442', '304', '123', '381', '140']
['161', '46', '498', '493', '142', '298', '158', '475', '343']
['34', '170', '471', '312', '220', '265', '141', '358', '120', '274']
['151', '290', '379', '111', '468', '317', '332', '25', '297', '57']
['443', '45', '257', '270', '54', '134', '182', '409', '258', '327']
['149', '91', '337', '363', '376', '305', '488', '266', '484', '243']
['237', '16', '194', '126', '219', '15', '388', '136', '346', '394']
['415', '181', '130', '179', '254', '340', '189', '495', '116', '209']
['117', '49', '210', '315', '301', '176', '81', '408', '396', '216']
['249', '361', '353', '485', '452', '94', '465', '311', '430', '160']
['201', '11', '8', '36', '159', '390', '154', '92', '458', '110']
['428', '125', '303', '321', '47', '421', '422', '231', '21', '393']
['74', '3', '334', '180', '107', '17', '50', '467', '320', '380']
['399', '157', '192', '476', '439', '129', '269', '288', '226', '39']
['314', '104', '295', '122', '18', '391', '470', '10', '441', '211']
['248', '232', '434', '229', '28', '276', '397', '118', '273', '178']
['271', '348', '42', '0', '185', '30', '262', '455', '127', '208']
['200', '38', '483', '489', '387', '448', '308', '445', '373', '203']
['228', '460', '84', '490', '33', '138', '322', '80', '242', '153']
['372', '235', '241', '238', '414', '395', '27', '310', '401', '344']
['278', '164', '347', '255', '318', '329', '369', '106', '61', '23']
['24', '425', '32', '62', '55', '70', '227', '400', '291', '77']
['436', '263', '132', '85', '173', '299', '244', '326', '171', '234']
['374', '253', '272', '166', '2', '202', '212', '461', '323', '73']
['487', '68', '240', '280', '223', '96', '494', '438', '464', '382']
['252', '52', '143', '101', '205', '224', '411', '167', '193', '306']
['449', '245', '330', '406', '285', '342', '420', '377', '217', '137']
['87', '75', '93', '58', '207', '152', '163', '198', '14', '97']
['281', '86', '407', '349', '51', '482', '368', '5', '267', '351']
['419', '190', '367', '148', '35', '20', '410', '463', '289', '492']
['444', '236', '119', '341', '469', '230', '108', '496', '71', '404']
['354', '165', '196', '79', '309', '333', '433', '292', '105', '412']
['480']
