['570', '174', '946', '533', '378', '592', '929', '538', '614', '235', '155', '725', '655', '774', '620', '522', '226', '799', '993', '418', '736', '92', '74', '662', '565', '79', '139', '99', '152', '298', '67', '812', '885', '681', '770', '921', '135', '695', '247', '903', '743', '408', '57', '466', '414', '931', '476', '167', '631', '211', '45', '151', '479', '654', '632', '85', '359', '210', '692', '831', '265', '771', '411', '854', '215', '828', '764', '112', '701', '811', '149', '84', '891', '334', '547', '992', '233', '786', '600', '323', '322', '525', '987', '201', '165', '231', '733', '424', '159', '91', '317', '953', '730', '56', '271', '481', '645', '80', '250', '420']
['576', '260', '537', '433', '914', '453', '439', '62', '836', '913', '336', '505', '888', '937', '807', '907', '968', '252', '394', '108', '607', '927', '455', '656', '647', '431', '468', '714', '478', '325', '267', '960', '985', '541', '296', '446', '257', '294', '87', '230', '801', '43', '697', '951', '508', '782', '171', '26', '53', '932', '562', '691', '409', '643', '555', '456', '502', '50', '869', '118', '998', '404', '978', '457', '815', '237', '567', '512', '33', '700', '965', '315', '9', '213', '219', '705', '425', '249', '747', '846', '348', '904', '625', '459', '482', '452', '437', '676', '554', '560', '435', '923', '972', '833', '989', '668', '856', '279', '741', '44']
['633', '289', '464', '224', '696', '200', '125', '110', '503', '5', '416', '845', '875', '895', '31', '109', '24', '893', '429', '410', '820', '344', '704', '706', '694', '4', '689', '474', '616', '994', '794', '498', '930', '10', '390', '553', '687', '917', '23', '838', '669', '548', '940', '134', '263', '88', '71', '341', '749', '387', '193', '156', '117', '781', '259', '744', '723', '248', '178', '203', '465', '363', '367', '787', '76', '558', '96', '405', '721', '360', '463', '423', '802', '780', '419', '180', '711', '196', '304', '398', '734', '120', '976', '268', '97', '852', '511', '865', '189', '483', '945', '141', '544', '586', '18', '887', '748', '515', '709', '648']
['39', '255', '13', '412', '707', '629', '303', '169', '962', '320', '826', '382', '310', '377', '542', '126', '866', '776', '847', '849', '313', '584', '299', '172', '184', '470', '501', '58', '86', '428', '603', '817', '2', '673', '693', '872', '757', '495', '910', '531', '11', '636', '519', '578', '825', '347', '731', '204', '114', '36', '857', '403', '792', '610', '574', '440', '793', '275', '52', '634', '293', '93', '90', '177', '624', '460', '426', '346', '47', '143', '672', '282', '804', '840', '995', '343', '458', '626', '984', '179', '754', '491', '809', '216', '270', '737', '389', '128', '146', '8', '680', '606', '896', '407', '918', '314', '116', '140', '783', '467']
['726', '292', '392', '862', '475', '199', '365', '911', '27', '590', '758', '496', '821', '103', '206', '406', '835', '318', '137', '384', '599', '138', '331', '370', '276', '236', '682', '832', '106', '447', '534', '999', '454', '710', '300', '287', '352', '59', '486', '928', '939', '735', '497', '635', '264', '335', '611', '327', '297', '753', '765', '649', '469', '234', '814', '661', '621', '827', '220', '718', '739', '328', '448', '480', '988', '919', '510', '762', '397', '876', '618', '974', '582', '829', '563', '373', '539', '720', '473', '924', '991', '489', '527', '683', '954', '173', '798', '591', '115', '518', '861', '729', '760', '777', '376', '358', '223', '340', '89', '784']
['936', '619', '163', '37', '168', '306', '73', '942', '46', '442', '813', '877', '884', '970', '198', '957', '779', '253', '40', '30', '868', '608', '583', '145', '864', '772', '997', '839', '975', '745', '934', '68', '507', '897', '639', '886', '986', '349', '880', '630', '77', '889', '228', '113', '472', '912', '644', '685', '42', '337', '641', '742', '242', '572', '29', '660', '121', '958', '164', '192', '947', '421', '251', '604', '283', '549', '834', '345', '933', '575', '214', '451', '768', '246', '513', '871', '83', '863', '162', '277', '49', '506', '222', '588', '202', '148', '870', '860', '122', '686', '581', '422', '15', '573', '658', '761', '666', '982', '212', '388']
['32', '485', '842', '188', '280', '520', '254', '434', '961', '637', '795', '21', '7', '142', '371', '217', '256', '379', '769', '368', '941', '612', '601', '354', '176', '671', '806', '640', '667', '568', '364', '78', '438', '329', '561', '559', '492', '980', '227', '540', '901', '229', '530', '605', '679', '338', '564', '703', '170', '238', '536', '818', '756', '72', '638', '12', '900', '882', '94', '909', '752', '727', '261', '101', '105', '104', '528', '805', '837', '596', '526', '908', '580', '556', '436', '674', '195', '144', '232', '312', '150', '535', '385', '898', '712', '6', '262', '402', '664', '867', '690', '20', '207', '545', '850', '487', '64', '916', '593', '332']
['499', '550', '166', '763', '381', '111', '702', '157', '488', '767', '272', '221', '182', '278', '190', '274', '461', '225', '977', '258', '935', '713', '996', '427', '308', '623', '808', '800', '22', '430', '154', '956', '391', '873', '309', '922', '290', '129', '716', '773', '938', '153', '751', '396', '791', '161', '663', '699', '617', '920', '471', '755', '357', '830', '14', '879', '490', '16', '339', '194', '477', '63', '853', '653', '677', '881', '979', '494', '333', '948', '665', '651', '383', '628', '0', '301', '750', '823', '902', '925', '241', '566', '107', '816', '789', '717', '949', '509', '288', '28', '48', '504', '484', '413', '523', '650', '971', '321', '944', '286']
['966', '65', '824', '983', '722', '657', '670', '305', '102', '82', '361', '602', '400', '273', '269', '855', '595', '208', '950', '967', '552', '302', '342', '577', '964', '532', '158', '183', '243', '843', '906', '444', '766', '330', '98', '521', '284', '401', '571', '546', '240', '191', '324', '955', '557', '622', '597', '132', '449', '374', '646', '244', '372', '395', '803', '517', '899', '119', '17', '740', '362', '133', '291', '95', '450', '609', '75', '598', '281', '963', '859', '797', '131', '594', '969', '127', '60', '926', '366', '890', '239', '652', '399', '355', '728', '35', '775', '613', '41', '587', '785', '356', '285', '894', '500', '684', '841', '990', '585', '218']
['905', '353', '311', '55', '3', '25', '266', '524', '61', '462', '858', '952', '844', '445', '878', '688', '848', '627', '810', '205', '973', '38', '1', '386', '788', '822', '130', '443', '441', '417', '943', '54', '708', '738', '66', '642', '351', '136', '316', '123', '34', '100', '981', '307', '819', '175', '187', '874', '493', '375', '659', '147', '851', '543', '715', '759', '579', '415', '746', '70', '319', '245', '350', '959', '432', '514', '181', '186', '719', '724', '796', '551', '732', '393', '698', '369', '295', '883', '892', '81', '778', '69', '380', '569', '589', '915', '615', '790', '185', '209', '160', '124', '675', '326', '516', '678', '51', '197', '19', '529']
